Indicateur,Nouveau_nom_indicateur,Thématique,Source,Groupe,Description
Puissance installée d'électricité par éolien terrestre (kw),Puissance installée d'électricité par éolien terrestre (kw),Énergie,OEB  / Terristory,9,
Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),Puissance installée d'électricité par panneaux solaires photovoltaïques (kw),Énergie,OEB  / Terristory,9,
Puissance installée d'électricité par panneaux solaires thermiques (kw),Puissance installée d'électricité par panneaux solaires thermiques (kw),Énergie,OEB  / Terristory,9,
Puissance installée d'hydroélectricité (kw),Puissance installée d'électricité hydro (kw),Énergie,OEB  / Terristory,9,
Taux d’approvisionnement en produits biologiques dans la restauration collective (%),Taux d’approvisionnement en produits biologiques dans la restauration collective (%),Agriculture,Ecolab,0,
"Taux d’approvisionnement en produits durables et de qualité dans la restauration collective, dont produits bio (%)","Taux d’approvisionnement en produits durables et de qualité dans la restauration collective, dont produits bio (%)",Agriculture,Ecolab,0,
Tonnage_DMA,Tonnage annuel de DMA dont gravats collectés par habitant (kg/hab/an),Économie Circulaire,OEB,0,
Production de Biométhane (Mwh),Production de Biométhane (Mwh),Énergie,OEB  / Terristory,0,
Production d'électricité bois domestique et chaufferie (Mwh),Production d'électricité bois domestique et chaufferie (Mwh),Énergie,OEB  / Terristory,0,
Nombre d'exploitations agricoles sur le territoire,Nombre d'exploitations agricoles sur le territoire,Agriculture,ecologie.data.gouv,0,
Nombre de logements crées par an,Nombre de logements crées par an,Bâtiment,ecologie.data.gouv,0,
Nombre de logements autorisés par an,Nombre de logements autorisés par an,Bâtiment,ecologie.data.gouv,0,
Surface totale du territoire (ha),Surface totale du territoire (ha),Transverse,ecologie.data.gouv,0,
Surface agricole utile du territoire (ha),Surface agricole utile du territoire (ha),Agriculture,ecologie.data.gouv,0,
Nombre d'habitants du territoire,Nombre d'habitants du territoire,Transverse,ecologie.data.gouv,0,
Séquestration nette de CO2 par type de sols du territoire(TeqCO2 an),Séquestration nette de CO2 par type de sols du territoire(TeqCO2 an),Transverse,ecologie.data.gouv,0,
Part de chaleur décarbonée produite (ENR&R = renouvelable et de récupération) dans les réseaux de chaleur(%),Part de chaleur décarbonée produite (ENR&R = renouvelable et de récupération) dans les réseaux de chaleur(%),Énergie,ecologie.data.gouv,0,
Part de nouveaux logements créés collectivement sur total autorisés(%),Part de nouveaux logements créés collectivement sur total autorisés(%),Bâtiment,ecologie.data.gouv,0,
Prélèvements d'eau sur le territoire(m3),Prélèvements d'eau sur le territoire(m3),Eau,ecologie.data.gouv,0,
Volume de chaleur livrée par les réseaux de chaleur (TWh),Volume de chaleur livrée par les réseaux de chaleur (TWh),Énergie,ecologie.data.gouv,0,
Surface en agriculture biologique (certifiées bio ou en conversion) (ha),Surface en agriculture biologique (certifiées bio ou en conversion) (ha),Agriculture,ecologie.data.gouv,0,
Nombre de ménages du territoire,Nombre de ménages du territoire,Transverse,Insee,0,
